,Country,economy,Year,central_government_debt
9772,Benin,BEN,YR1996,
9773,Belize,BLZ,YR1996,29.3636466067726
9774,Belgium,BEL,YR1996,127.330165011394
9775,Belarus,BLR,YR1996,11.5201288580528
9776,Barbados,BRB,YR1996,
9777,Bangladesh,BGD,YR1996,
9778,Bahrain,BHR,YR1996,13.9070398716136
9779,"Bahamas, The",BHS,YR1996,34.2227763923525
9780,Azerbaijan,AZE,YR1996,
9781,Austria,AUT,YR1996,
9782,Australia,AUS,YR1996,
9783,Aruba,ABW,YR1996,
9784,Armenia,ARM,YR1996,
9785,Argentina,ARG,YR1996,
9786,Antigua and Barbuda,ATG,YR1996,
9787,Angola,AGO,YR1996,
9788,Andorra,AND,YR1996,
9789,American Samoa,ASM,YR1996,
9790,Algeria,DZA,YR1996,
9791,Albania,ALB,YR1996,
9792,Afghanistan,AFG,YR1996,
9793,World,WLD,YR1996,
9794,Upper middle income,UMC,YR1996,
9795,Sub-Saharan Africa (IDA & IBRD countries),TSS,YR1996,
9796,Sub-Saharan Africa (excluding high income),SSA,YR1996,
9797,Sub-Saharan Africa,SSF,YR1996,
9798,South Asia (IDA & IBRD),TSA,YR1996,47.5900259577279
9799,South Asia,SAS,YR1996,47.5900259577279
9800,Small states,SST,YR1996,
9801,Pre-demographic dividend,PRE,YR1996,
9802,Post-demographic dividend,PST,YR1996,60.8685633927337
9803,Pacific island small states,PSS,YR1996,
9804,Other small states,OSS,YR1996,
9805,OECD members,OED,YR1996,60.7954954749016
9806,Not classified,INX,YR1996,
9807,North America,NAC,YR1996,49.4138197463287
9808,Middle income,MIC,YR1996,
9809,Middle East & North Africa (IDA & IBRD countries),TMN,YR1996,
9810,Middle East & North Africa (excluding high income),MNA,YR1996,
9811,Middle East & North Africa,MEA,YR1996,
9812,Lower middle income,LMC,YR1996,
9813,Low income,LIC,YR1996,
9814,Low & middle income,LMY,YR1996,
9815,Least developed countries: UN classification,LDC,YR1996,
9816,Latin America & the Caribbean (IDA & IBRD countries),TLA,YR1996,
9817,Latin America & Caribbean (excluding high income),LAC,YR1996,
9818,Latin America & Caribbean,LCN,YR1996,
9819,Late-demographic dividend,LTE,YR1996,
9820,IDA total,IDA,YR1996,
9821,IDA only,IDX,YR1996,
9822,IDA blend,IDB,YR1996,
9823,IDA & IBRD total,IBT,YR1996,
9824,IBRD only,IBD,YR1996,
9825,High income,HIC,YR1996,
9826,Heavily indebted poor countries (HIPC),HPC,YR1996,
9827,Fragile and conflict affected situations,FCS,YR1996,
9828,European Union,EUU,YR1996,
9829,Europe & Central Asia (IDA & IBRD countries),TEC,YR1996,
9830,Europe & Central Asia (excluding high income),ECA,YR1996,
9831,Europe & Central Asia,ECS,YR1996,
9832,Euro area,EMU,YR1996,
9833,East Asia & Pacific (IDA & IBRD countries),TEA,YR1996,
9834,East Asia & Pacific (excluding high income),EAP,YR1996,
9835,East Asia & Pacific,EAS,YR1996,
9836,Early-demographic dividend,EAR,YR1996,
9837,Central Europe and the Baltics,CEB,YR1996,
9838,Caribbean small states,CSS,YR1996,
9839,Arab World,ARB,YR1996,
9840,Africa Western and Central,AFW,YR1996,
9841,Africa Eastern and Southern,AFE,YR1996,
9842,Zimbabwe,ZWE,YR1997,
9843,Zambia,ZMB,YR1997,150.072548942759
9844,"Yemen, Rep.",YEM,YR1997,
9845,West Bank and Gaza,PSE,YR1997,
9846,Virgin Islands (U.S.),VIR,YR1997,
9847,Viet Nam,VNM,YR1997,
9848,"Venezuela, RB",VEN,YR1997,
9849,Vanuatu,VUT,YR1997,23.3531607922546
9850,Uzbekistan,UZB,YR1997,
9851,Uruguay,URY,YR1997,
9852,United States,USA,YR1997,44.1174824705231
9853,United Kingdom,GBR,YR1997,88.697982494323
9854,United Arab Emirates,ARE,YR1997,
9855,Ukraine,UKR,YR1997,
9856,Uganda,UGA,YR1997,
9857,Tuvalu,TUV,YR1997,
9858,Turks and Caicos Islands,TCA,YR1997,
9859,Turkmenistan,TKM,YR1997,
9860,Turkiye,TUR,YR1997,
9861,Tunisia,TUN,YR1997,56.9353278066895
9862,Trinidad and Tobago,TTO,YR1997,
9863,Tonga,TON,YR1997,
9864,Togo,TGO,YR1997,
9865,Timor-Leste,TLS,YR1997,
9866,Thailand,THA,YR1997,
9867,Tanzania,TZA,YR1997,
9868,Tajikistan,TJK,YR1997,
9869,Syrian Arab Republic,SYR,YR1997,
9870,Switzerland,CHE,YR1997,24.6715356196923
9871,Sweden,SWE,YR1997,87.9657240939027
9872,Suriname,SUR,YR1997,
9873,Sudan,SDN,YR1997,
9874,St. Vincent and the Grenadines,VCT,YR1997,39.3831604507018
9875,St. Martin (French part),MAF,YR1997,
9876,St. Lucia,LCA,YR1997,
9877,St. Kitts and Nevis,KNA,YR1997,
9878,Sri Lanka,LKA,YR1997,86.105931670321
9879,Spain,ESP,YR1997,60.4352384126761
9880,South Sudan,SSD,YR1997,
9881,South Africa,ZAF,YR1997,
9882,Somalia,SOM,YR1997,
9883,Solomon Islands,SLB,YR1997,
9884,Slovenia,SVN,YR1997,
9885,Slovak Republic,SVK,YR1997,
9886,Sint Maarten (Dutch part),SXM,YR1997,
9887,Singapore,SGP,YR1997,71.3607292667242
9888,Sierra Leone,SLE,YR1997,
9889,Seychelles,SYC,YR1997,
9890,Serbia,SRB,YR1997,
9891,Senegal,SEN,YR1997,
9892,Saudi Arabia,SAU,YR1997,
9893,Sao Tome and Principe,STP,YR1997,
9894,San Marino,SMR,YR1997,
9895,Samoa,WSM,YR1997,
9896,Rwanda,RWA,YR1997,
9897,Russian Federation,RUS,YR1997,
9898,Romania,ROU,YR1997,
9899,Qatar,QAT,YR1997,
9900,Puerto Rico,PRI,YR1997,
9901,Portugal,PRT,YR1997,
9902,Poland,POL,YR1997,
9903,Philippines,PHL,YR1997,48.6978483259554
9904,Peru,PER,YR1997,
9905,Paraguay,PRY,YR1997,
9906,Papua New Guinea,PNG,YR1997,62.4046556302616
9907,Panama,PAN,YR1997,
9908,Palau,PLW,YR1997,
9909,Pakistan,PAK,YR1997,
9910,Oman,OMN,YR1997,
9911,Norway,NOR,YR1997,20.8687157201185
9912,Northern Mariana Islands,MNP,YR1997,
9913,North Macedonia,MKD,YR1997,
9914,Nigeria,NGA,YR1997,
9915,Niger,NER,YR1997,
9916,Nicaragua,NIC,YR1997,
9917,New Zealand,NZL,YR1997,
9918,New Caledonia,NCL,YR1997,
9919,Netherlands,NLD,YR1997,
9920,Nepal,NPL,YR1997,59.8824296913156
9921,Nauru,NRU,YR1997,
9922,Namibia,NAM,YR1997,
9923,Myanmar,MMR,YR1997,
9924,Mozambique,MOZ,YR1997,
9925,Morocco,MAR,YR1997,64.4624151446094
9926,Montenegro,MNE,YR1997,
9927,Mongolia,MNG,YR1997,
9928,Monaco,MCO,YR1997,
9929,Moldova,MDA,YR1997,
9930,"Micronesia, Fed. Sts.",FSM,YR1997,
9931,Mexico,MEX,YR1997,
9932,Mauritius,MUS,YR1997,
9933,Mauritania,MRT,YR1997,
9934,Marshall Islands,MHL,YR1997,
9935,Malta,MLT,YR1997,
9936,Mali,MLI,YR1997,
9937,Maldives,MDV,YR1997,39.670387725631
9938,Malaysia,MYS,YR1997,
9939,Malawi,MWI,YR1997,
9940,Madagascar,MDG,YR1997,
9941,"Macao SAR, China",MAC,YR1997,
9942,Luxembourg,LUX,YR1997,
9943,Lithuania,LTU,YR1997,
9944,Liechtenstein,LIE,YR1997,
9945,Libya,LBY,YR1997,
9946,Liberia,LBR,YR1997,
9947,Lesotho,LSO,YR1997,
9948,Lebanon,LBN,YR1997,96.9088659793814
9949,Latvia,LVA,YR1997,
9950,Lao PDR,LAO,YR1997,
9951,Kyrgyz Republic,KGZ,YR1997,
9952,Kuwait,KWT,YR1997,
9953,Kosovo,XKX,YR1997,
9954,"Korea, Rep.",KOR,YR1997,
9955,"Korea, Dem. People's Rep.",PRK,YR1997,
9956,Kiribati,KIR,YR1997,
9957,Kenya,KEN,YR1997,
9958,Kazakhstan,KAZ,YR1997,
9959,Jordan,JOR,YR1997,100.385416463901
9960,Japan,JPN,YR1997,72.9967174775097
9961,Jamaica,JAM,YR1997,73.7000090787124
9962,Italy,ITA,YR1997,122.531519677673
9963,Israel,ISR,YR1997,93.8853821642428
9964,Isle of Man,IMN,YR1997,
9965,Ireland,IRL,YR1997,
9966,Iraq,IRQ,YR1997,
9967,"Iran, Islamic Rep.",IRN,YR1997,
9968,Indonesia,IDN,YR1997,
9969,India,IND,YR1997,50.3654361276153
9970,Iceland,ISL,YR1997,68.3768608037869
9971,Hungary,HUN,YR1997,67.4599980078238
9972,"Hong Kong SAR, China",HKG,YR1997,
9973,Honduras,HND,YR1997,
9974,Haiti,HTI,YR1997,
9975,Guyana,GUY,YR1997,
9976,Guinea-Bissau,GNB,YR1997,
9977,Guinea,GIN,YR1997,
9978,Guatemala,GTM,YR1997,11.3452176738095
9979,Guam,GUM,YR1997,
9980,Grenada,GRD,YR1997,
9981,Greenland,GRL,YR1997,
9982,Greece,GRC,YR1997,109.648857268302
9983,Gibraltar,GIB,YR1997,
9984,Ghana,GHA,YR1997,
9985,Germany,DEU,YR1997,
9986,Georgia,GEO,YR1997,45.902215196821
9987,"Gambia, The",GMB,YR1997,
9988,Gabon,GAB,YR1997,
9989,French Polynesia,PYF,YR1997,
9990,France,FRA,YR1997,
9991,Finland,FIN,YR1997,
9992,Fiji,FJI,YR1997,
9993,Faroe Islands,FRO,YR1997,
9994,Ethiopia,ETH,YR1997,67.7317426757118
9995,Eswatini,SWZ,YR1997,
9996,Estonia,EST,YR1997,
9997,Eritrea,ERI,YR1997,
9998,Equatorial Guinea,GNQ,YR1997,
9999,El Salvador,SLV,YR1997,
10000,"Egypt, Arab Rep.",EGY,YR1997,
10001,Ecuador,ECU,YR1997,
10002,Dominican Republic,DOM,YR1997,17.5702324990029
10003,Dominica,DMA,YR1997,
10004,Djibouti,DJI,YR1997,
10005,Denmark,DNK,YR1997,67.5639248723916
10006,Czechia,CZE,YR1997,
10007,Cyprus,CYP,YR1997,
10008,Curacao,CUW,YR1997,
10009,Cuba,CUB,YR1997,
10010,Croatia,HRV,YR1997,
10011,Cote d'Ivoire,CIV,YR1997,
10012,Costa Rica,CRI,YR1997,30.1790308643986
10013,"Congo, Rep.",COG,YR1997,
10014,"Congo, Dem. Rep.",COD,YR1997,152.187001902338
10015,Comoros,COM,YR1997,
10016,Colombia,COL,YR1997,
10017,China,CHN,YR1997,
10018,Chile,CHL,YR1997,12.7798231847066
10019,Channel Islands,CHI,YR1997,
10020,Chad,TCD,YR1997,
10021,Central African Republic,CAF,YR1997,
10022,Cayman Islands,CYM,YR1997,
10023,Canada,CAN,YR1997,74.9284095733244
10024,Cameroon,CMR,YR1997,
10025,Cambodia,KHM,YR1997,
10026,Cabo Verde,CPV,YR1997,
10027,Burundi,BDI,YR1997,
10028,Burkina Faso,BFA,YR1997,
10029,Bulgaria,BGR,YR1997,
10030,Brunei Darussalam,BRN,YR1997,
10031,British Virgin Islands,VGB,YR1997,
10032,Brazil,BRA,YR1997,
10033,Botswana,BWA,YR1997,
10034,Bosnia and Herzegovina,BIH,YR1997,
10035,Bolivia,BOL,YR1997,46.5365054086561
10036,Bhutan,BTN,YR1997,31.9367467746927
10037,Bermuda,BMU,YR1997,
10038,Benin,BEN,YR1997,
10039,Belize,BLZ,YR1997,
10040,Belgium,BEL,YR1997,124.101334701475
10041,Belarus,BLR,YR1997,12.1714690728675
10042,Barbados,BRB,YR1997,
10043,Bangladesh,BGD,YR1997,
10044,Bahrain,BHR,YR1997,14.916205663568
10045,"Bahamas, The",BHS,YR1997,21.7237964992515
10046,Azerbaijan,AZE,YR1997,
10047,Austria,AUT,YR1997,
10048,Australia,AUS,YR1997,
10049,Aruba,ABW,YR1997,
10050,Armenia,ARM,YR1997,
10051,Argentina,ARG,YR1997,
10052,Antigua and Barbuda,ATG,YR1997,
10053,Angola,AGO,YR1997,
10054,Andorra,AND,YR1997,
10055,American Samoa,ASM,YR1997,
10056,Algeria,DZA,YR1997,
10057,Albania,ALB,YR1997,
10058,Afghanistan,AFG,YR1997,
10059,World,WLD,YR1997,
10060,Upper middle income,UMC,YR1997,
10061,Sub-Saharan Africa (IDA & IBRD countries),TSS,YR1997,
10062,Sub-Saharan Africa (excluding high income),SSA,YR1997,
10063,Sub-Saharan Africa,SSF,YR1997,
10064,South Asia (IDA & IBRD),TSA,YR1997,51.7133623221527
10065,South Asia,SAS,YR1997,51.7133623221527
10066,Small states,SST,YR1997,
10067,Pre-demographic dividend,PRE,YR1997,
10068,Post-demographic dividend,PST,YR1997,60.8114012407299
10069,Pacific island small states,PSS,YR1997,
10070,Other small states,OSS,YR1997,
10071,OECD members,OED,YR1997,60.7054619408945
10072,Not classified,INX,YR1997,
10073,North America,NAC,YR1997,46.7480425662037
10074,Middle income,MIC,YR1997,
10075,Middle East & North Africa (IDA & IBRD countries),TMN,YR1997,
10076,Middle East & North Africa (excluding high income),MNA,YR1997,
10077,Middle East & North Africa,MEA,YR1997,
10078,Lower middle income,LMC,YR1997,
10079,Low income,LIC,YR1997,
10080,Low & middle income,LMY,YR1997,
10081,Least developed countries: UN classification,LDC,YR1997,
10082,Latin America & the Caribbean (IDA & IBRD countries),TLA,YR1997,
10083,Latin America & Caribbean (excluding high income),LAC,YR1997,
10084,Latin America & Caribbean,LCN,YR1997,
10085,Late-demographic dividend,LTE,YR1997,
10086,IDA total,IDA,YR1997,
10087,IDA only,IDX,YR1997,
10088,IDA blend,IDB,YR1997,
10089,IDA & IBRD total,IBT,YR1997,
10090,IBRD only,IBD,YR1997,
10091,High income,HIC,YR1997,60.7880374664136
10092,Heavily indebted poor countries (HIPC),HPC,YR1997,
10093,Fragile and conflict affected situations,FCS,YR1997,
10094,European Union,EUU,YR1997,
10095,Europe & Central Asia (IDA & IBRD countries),TEC,YR1997,
10096,Europe & Central Asia (excluding high income),ECA,YR1997,
10097,Europe & Central Asia,ECS,YR1997,
10098,Euro area,EMU,YR1997,
10099,East Asia & Pacific (IDA & IBRD countries),TEA,YR1997,
10100,East Asia & Pacific (excluding high income),EAP,YR1997,
10101,East Asia & Pacific,EAS,YR1997,
10102,Early-demographic dividend,EAR,YR1997,
10103,Central Europe and the Baltics,CEB,YR1997,
10104,Caribbean small states,CSS,YR1997,
10105,Arab World,ARB,YR1997,
10106,Africa Western and Central,AFW,YR1997,
10107,Africa Eastern and Southern,AFE,YR1997,
10108,Zimbabwe,ZWE,YR1998,
10109,Zambia,ZMB,YR1998,161.232157851948
10110,"Yemen, Rep.",YEM,YR1998,
10111,West Bank and Gaza,PSE,YR1998,
10112,Virgin Islands (U.S.),VIR,YR1998,
10113,Viet Nam,VNM,YR1998,
10114,"Venezuela, RB",VEN,YR1998,
10115,Vanuatu,VUT,YR1998,28.4031452746136
10116,Uzbekistan,UZB,YR1998,
10117,Uruguay,URY,YR1998,
10118,United States,USA,YR1998,41.1291544339911
10119,United Kingdom,GBR,YR1998,90.4867396226944
10120,United Arab Emirates,ARE,YR1998,
10121,Ukraine,UKR,YR1998,
10122,Uganda,UGA,YR1998,
10123,Tuvalu,TUV,YR1998,
10124,Turks and Caicos Islands,TCA,YR1998,
10125,Turkmenistan,TKM,YR1998,
10126,Turkiye,TUR,YR1998,
10127,Tunisia,TUN,YR1998,54.2817440338334
10128,Trinidad and Tobago,TTO,YR1998,
10129,Tonga,TON,YR1998,
10130,Togo,TGO,YR1998,
10131,Timor-Leste,TLS,YR1998,
10132,Thailand,THA,YR1998,
10133,Tanzania,TZA,YR1998,
10134,Tajikistan,TJK,YR1998,
10135,Syrian Arab Republic,SYR,YR1998,
10136,Switzerland,CHE,YR1998,26.9046270119941
10137,Sweden,SWE,YR1998,87.8663480274327
10138,Suriname,SUR,YR1998,
10139,Sudan,SDN,YR1998,7.86949168449653
10140,St. Vincent and the Grenadines,VCT,YR1998,40.0388592047741
10141,St. Martin (French part),MAF,YR1998,
10142,St. Lucia,LCA,YR1998,
10143,St. Kitts and Nevis,KNA,YR1998,
10144,Sri Lanka,LKA,YR1998,89.1958239111343
10145,Spain,ESP,YR1998,60.5718020649445
10146,South Sudan,SSD,YR1998,
10147,South Africa,ZAF,YR1998,
10148,Somalia,SOM,YR1998,
10149,Solomon Islands,SLB,YR1998,
10150,Slovenia,SVN,YR1998,
10151,Slovak Republic,SVK,YR1998,37.0639822822596
10152,Sint Maarten (Dutch part),SXM,YR1998,
10153,Singapore,SGP,YR1998,82.599116639914
10154,Sierra Leone,SLE,YR1998,
10155,Seychelles,SYC,YR1998,
10156,Serbia,SRB,YR1998,
10157,Senegal,SEN,YR1998,
10158,Saudi Arabia,SAU,YR1998,
10159,Sao Tome and Principe,STP,YR1998,
10160,San Marino,SMR,YR1998,
10161,Samoa,WSM,YR1998,
10162,Rwanda,RWA,YR1998,
10163,Russian Federation,RUS,YR1998,
10164,Romania,ROU,YR1998,29.4826752270473
10165,Qatar,QAT,YR1998,
10166,Puerto Rico,PRI,YR1998,
10167,Portugal,PRT,YR1998,67.7892393765754
10168,Poland,POL,YR1998,41.3012289512653
10169,Philippines,PHL,YR1998,58.2805829140392
10170,Peru,PER,YR1998,
10171,Paraguay,PRY,YR1998,
10172,Papua New Guinea,PNG,YR1998,66.3501460864216
10173,Panama,PAN,YR1998,
10174,Palau,PLW,YR1998,
10175,Pakistan,PAK,YR1998,79.0846919843326
10176,Oman,OMN,YR1998,
10177,Norway,NOR,YR1998,18.5327103687173
10178,Northern Mariana Islands,MNP,YR1998,
10179,North Macedonia,MKD,YR1998,
10180,Nigeria,NGA,YR1998,
10181,Niger,NER,YR1998,
10182,Nicaragua,NIC,YR1998,
10183,New Zealand,NZL,YR1998,
10184,New Caledonia,NCL,YR1998,
10185,Netherlands,NLD,YR1998,62.4032767344247
10186,Nepal,NPL,YR1998,66.3514434343267
10187,Nauru,NRU,YR1998,
10188,Namibia,NAM,YR1998,
10189,Myanmar,MMR,YR1998,
10190,Mozambique,MOZ,YR1998,
10191,Morocco,MAR,YR1998,55.0124708324473
10192,Montenegro,MNE,YR1998,
10193,Mongolia,MNG,YR1998,
10194,Monaco,MCO,YR1998,
10195,Moldova,MDA,YR1998,
10196,"Micronesia, Fed. Sts.",FSM,YR1998,
10197,Mexico,MEX,YR1998,
10198,Mauritius,MUS,YR1998,
10199,Mauritania,MRT,YR1998,
10200,Marshall Islands,MHL,YR1998,
10201,Malta,MLT,YR1998,
10202,Mali,MLI,YR1998,
10203,Maldives,MDV,YR1998,40.9867359654762
10204,Malaysia,MYS,YR1998,
10205,Malawi,MWI,YR1998,
10206,Madagascar,MDG,YR1998,
10207,"Macao SAR, China",MAC,YR1998,
10208,Luxembourg,LUX,YR1998,14.1870577813116
10209,Lithuania,LTU,YR1998,27.6162474571877
10210,Liechtenstein,LIE,YR1998,
10211,Libya,LBY,YR1998,
10212,Liberia,LBR,YR1998,
10213,Lesotho,LSO,YR1998,
10214,Lebanon,LBN,YR1998,106.957053807029
10215,Latvia,LVA,YR1998,15.8317821879726
10216,Lao PDR,LAO,YR1998,
10217,Kyrgyz Republic,KGZ,YR1998,
10218,Kuwait,KWT,YR1998,
10219,Kosovo,XKX,YR1998,
10220,"Korea, Rep.",KOR,YR1998,
10221,"Korea, Dem. People's Rep.",PRK,YR1998,
10222,Kiribati,KIR,YR1998,
10223,Kenya,KEN,YR1998,
10224,Kazakhstan,KAZ,YR1998,
