,Country,economy,Year,central_government_debt
10225,Jordan,JOR,YR1998,101.172590823202
10226,Japan,JPN,YR1998,80.4782837717387
10227,Jamaica,JAM,YR1998,81.6705597000984
10228,Italy,ITA,YR1998,123.871312626766
10229,Israel,ISR,YR1998,94.8340599139242
10230,Isle of Man,IMN,YR1998,
10231,Ireland,IRL,YR1998,60.0098278254401
10232,Iraq,IRQ,YR1998,
10233,"Iran, Islamic Rep.",IRN,YR1998,
10234,Indonesia,IDN,YR1998,
10235,India,IND,YR1998,50.3192181735145
10236,Iceland,ISL,YR1998,63.1284148910778
10237,Hungary,HUN,YR1998,64.1648260076926
10238,"Hong Kong SAR, China",HKG,YR1998,
10239,Honduras,HND,YR1998,
10240,Haiti,HTI,YR1998,
10241,Guyana,GUY,YR1998,
10242,Guinea-Bissau,GNB,YR1998,
10243,Guinea,GIN,YR1998,
10244,Guatemala,GTM,YR1998,11.2801678443371
10245,Guam,GUM,YR1998,
10246,Grenada,GRD,YR1998,
10247,Greenland,GRL,YR1998,
10248,Greece,GRC,YR1998,108.066836957516
10249,Gibraltar,GIB,YR1998,
10250,Ghana,GHA,YR1998,
10251,Germany,DEU,YR1998,38.7734434725628
10252,Georgia,GEO,YR1998,56.9064733876267
10253,"Gambia, The",GMB,YR1998,
10254,Gabon,GAB,YR1998,
10255,French Polynesia,PYF,YR1998,
10256,France,FRA,YR1998,62.3639688260044
10257,Finland,FIN,YR1998,73.6250145259558
10258,Fiji,FJI,YR1998,
10259,Faroe Islands,FRO,YR1998,
10260,Ethiopia,ETH,YR1998,76.0638442706389
10261,Eswatini,SWZ,YR1998,
10262,Estonia,EST,YR1998,6.90922002473909
10263,Eritrea,ERI,YR1998,
10264,Equatorial Guinea,GNQ,YR1998,
10265,El Salvador,SLV,YR1998,
10266,"Egypt, Arab Rep.",EGY,YR1998,
10267,Ecuador,ECU,YR1998,
10268,Dominican Republic,DOM,YR1998,
10269,Dominica,DMA,YR1998,
10270,Djibouti,DJI,YR1998,
10271,Denmark,DNK,YR1998,64.9769885697233
10272,Czechia,CZE,YR1998,14.23484112205
10273,Cyprus,CYP,YR1998,142.792980925393
10274,Curacao,CUW,YR1998,
10275,Cuba,CUB,YR1998,
10276,Croatia,HRV,YR1998,
10277,Cote d'Ivoire,CIV,YR1998,
10278,Costa Rica,CRI,YR1998,40.2051024300097
10279,"Congo, Rep.",COG,YR1998,
10280,"Congo, Dem. Rep.",COD,YR1998,
10281,Comoros,COM,YR1998,
10282,Colombia,COL,YR1998,
10283,China,CHN,YR1998,
10284,Chile,CHL,YR1998,12.1152964040195
10285,Channel Islands,CHI,YR1998,
10286,Chad,TCD,YR1998,
10287,Central African Republic,CAF,YR1998,
10288,Cayman Islands,CYM,YR1998,
10289,Canada,CAN,YR1998,72.4827997563099
10290,Cameroon,CMR,YR1998,84.8102640173471
