,Country,economy,Year,GDP
0,Zimbabwe,ZWE,YR1960,
1,Zambia,ZMB,YR1960,
2,"Yemen, Rep.",YEM,YR1960,
3,West Bank and Gaza,PSE,YR1960,
4,Virgin Islands (U.S.),VIR,YR1960,
5,Viet Nam,VNM,YR1960,
6,"Venezuela, RB",VEN,YR1960,
7,Vanuatu,VUT,YR1960,
8,Uzbekistan,UZB,YR1960,
9,Uruguay,URY,YR1960,
10,United States,USA,YR1960,
11,United Kingdom,GBR,YR1960,
12,United Arab Emirates,ARE,YR1960,
13,Ukraine,UKR,YR1960,
14,Uganda,UGA,YR1960,
15,Tuvalu,TUV,YR1960,
16,Turks and Caicos Islands,TCA,YR1960,
17,Turkmenistan,TKM,YR1960,
18,Turkiye,TUR,YR1960,
19,Tunisia,TUN,YR1960,
20,Trinidad and Tobago,TTO,YR1960,
21,Tonga,TON,YR1960,
22,Togo,TGO,YR1960,
23,Timor-Leste,TLS,YR1960,
24,Thailand,THA,YR1960,
25,Tanzania,TZA,YR1960,
26,Tajikistan,TJK,YR1960,
27,Syrian Arab Republic,SYR,YR1960,
28,Switzerland,CHE,YR1960,
29,Sweden,SWE,YR1960,
30,Suriname,SUR,YR1960,
31,Sudan,SDN,YR1960,
32,St. Vincent and the Grenadines,VCT,YR1960,
33,St. Martin (French part),MAF,YR1960,
34,St. Lucia,LCA,YR1960,
35,St. Kitts and Nevis,KNA,YR1960,
36,Sri Lanka,LKA,YR1960,
37,Spain,ESP,YR1960,
38,South Sudan,SSD,YR1960,
39,South Africa,ZAF,YR1960,
40,Somalia,SOM,YR1960,
41,Solomon Islands,SLB,YR1960,
42,Slovenia,SVN,YR1960,
43,Slovak Republic,SVK,YR1960,
44,Sint Maarten (Dutch part),SXM,YR1960,
45,Singapore,SGP,YR1960,
46,Sierra Leone,SLE,YR1960,
47,Seychelles,SYC,YR1960,
48,Serbia,SRB,YR1960,
49,Senegal,SEN,YR1960,
50,Saudi Arabia,SAU,YR1960,
51,Sao Tome and Principe,STP,YR1960,
52,San Marino,SMR,YR1960,
53,Samoa,WSM,YR1960,
54,Rwanda,RWA,YR1960,
55,Russian Federation,RUS,YR1960,
56,Romania,ROU,YR1960,
57,Qatar,QAT,YR1960,
58,Puerto Rico,PRI,YR1960,
59,Portugal,PRT,YR1960,
60,Poland,POL,YR1960,
61,Philippines,PHL,YR1960,
62,Peru,PER,YR1960,
63,Paraguay,PRY,YR1960,
64,Papua New Guinea,PNG,YR1960,
65,Panama,PAN,YR1960,
66,Palau,PLW,YR1960,
67,Pakistan,PAK,YR1960,
68,Oman,OMN,YR1960,
69,Norway,NOR,YR1960,
70,Northern Mariana Islands,MNP,YR1960,
71,North Macedonia,MKD,YR1960,
72,Nigeria,NGA,YR1960,
73,Niger,NER,YR1960,
74,Nicaragua,NIC,YR1960,
75,New Zealand,NZL,YR1960,
76,New Caledonia,NCL,YR1960,
77,Netherlands,NLD,YR1960,
78,Nepal,NPL,YR1960,
79,Nauru,NRU,YR1960,
80,Namibia,NAM,YR1960,
81,Myanmar,MMR,YR1960,
82,Mozambique,MOZ,YR1960,
83,Morocco,MAR,YR1960,
84,Montenegro,MNE,YR1960,
85,Mongolia,MNG,YR1960,
86,Monaco,MCO,YR1960,
87,Moldova,MDA,YR1960,
88,"Micronesia, Fed. Sts.",FSM,YR1960,
89,Mexico,MEX,YR1960,
90,Mauritius,MUS,YR1960,
91,Mauritania,MRT,YR1960,
92,Marshall Islands,MHL,YR1960,
93,Malta,MLT,YR1960,
94,Mali,MLI,YR1960,
95,Maldives,MDV,YR1960,
96,Malaysia,MYS,YR1960,
97,Malawi,MWI,YR1960,
98,Madagascar,MDG,YR1960,
99,"Macao SAR, China",MAC,YR1960,
100,Luxembourg,LUX,YR1960,
101,Lithuania,LTU,YR1960,
102,Liechtenstein,LIE,YR1960,
103,Libya,LBY,YR1960,
104,Liberia,LBR,YR1960,
105,Lesotho,LSO,YR1960,
106,Lebanon,LBN,YR1960,
107,Latvia,LVA,YR1960,
108,Lao PDR,LAO,YR1960,
109,Kyrgyz Republic,KGZ,YR1960,
110,Kuwait,KWT,YR1960,
111,Kosovo,XKX,YR1960,
112,"Korea, Rep.",KOR,YR1960,
113,"Korea, Dem. People's Rep.",PRK,YR1960,
114,Kiribati,KIR,YR1960,
115,Kenya,KEN,YR1960,
116,Kazakhstan,KAZ,YR1960,
117,Jordan,JOR,YR1960,
118,Japan,JPN,YR1960,
119,Jamaica,JAM,YR1960,
120,Italy,ITA,YR1960,
121,Israel,ISR,YR1960,
122,Isle of Man,IMN,YR1960,
123,Ireland,IRL,YR1960,
124,Iraq,IRQ,YR1960,
125,"Iran, Islamic Rep.",IRN,YR1960,
126,Indonesia,IDN,YR1960,
127,India,IND,YR1960,
128,Iceland,ISL,YR1960,
129,Hungary,HUN,YR1960,
130,"Hong Kong SAR, China",HKG,YR1960,
131,Honduras,HND,YR1960,
132,Haiti,HTI,YR1960,
133,Guyana,GUY,YR1960,
134,Guinea-Bissau,GNB,YR1960,
135,Guinea,GIN,YR1960,
136,Guatemala,GTM,YR1960,
137,Guam,GUM,YR1960,
138,Grenada,GRD,YR1960,
139,Greenland,GRL,YR1960,
140,Greece,GRC,YR1960,
141,Gibraltar,GIB,YR1960,
142,Ghana,GHA,YR1960,
143,Germany,DEU,YR1960,
144,Georgia,GEO,YR1960,
145,"Gambia, The",GMB,YR1960,
146,Gabon,GAB,YR1960,
147,French Polynesia,PYF,YR1960,
148,France,FRA,YR1960,
149,Finland,FIN,YR1960,
150,Fiji,FJI,YR1960,
151,Faroe Islands,FRO,YR1960,
152,Ethiopia,ETH,YR1960,
153,Eswatini,SWZ,YR1960,
154,Estonia,EST,YR1960,
155,Eritrea,ERI,YR1960,
156,Equatorial Guinea,GNQ,YR1960,
157,El Salvador,SLV,YR1960,
158,"Egypt, Arab Rep.",EGY,YR1960,
159,Ecuador,ECU,YR1960,
160,Dominican Republic,DOM,YR1960,
161,Dominica,DMA,YR1960,
162,Djibouti,DJI,YR1960,
163,Denmark,DNK,YR1960,
164,Czechia,CZE,YR1960,
165,Cyprus,CYP,YR1960,
166,Curacao,CUW,YR1960,
167,Cuba,CUB,YR1960,
168,Croatia,HRV,YR1960,
169,Cote d'Ivoire,CIV,YR1960,
170,Costa Rica,CRI,YR1960,
171,"Congo, Rep.",COG,YR1960,
172,"Congo, Dem. Rep.",COD,YR1960,
173,Comoros,COM,YR1960,
174,Colombia,COL,YR1960,
175,China,CHN,YR1960,
176,Chile,CHL,YR1960,
177,Channel Islands,CHI,YR1960,
178,Chad,TCD,YR1960,
179,Central African Republic,CAF,YR1960,
180,Cayman Islands,CYM,YR1960,
181,Canada,CAN,YR1960,
182,Cameroon,CMR,YR1960,
183,Cambodia,KHM,YR1960,
184,Cabo Verde,CPV,YR1960,
185,Burundi,BDI,YR1960,
186,Burkina Faso,BFA,YR1960,
187,Bulgaria,BGR,YR1960,
188,Brunei Darussalam,BRN,YR1960,
189,British Virgin Islands,VGB,YR1960,
190,Brazil,BRA,YR1960,
191,Botswana,BWA,YR1960,
192,Bosnia and Herzegovina,BIH,YR1960,
193,Bolivia,BOL,YR1960,
194,Bhutan,BTN,YR1960,
195,Bermuda,BMU,YR1960,
196,Benin,BEN,YR1960,
197,Belize,BLZ,YR1960,
198,Belgium,BEL,YR1960,
199,Belarus,BLR,YR1960,
200,Barbados,BRB,YR1960,
201,Bangladesh,BGD,YR1960,
202,Bahrain,BHR,YR1960,
203,"Bahamas, The",BHS,YR1960,
204,Azerbaijan,AZE,YR1960,
205,Austria,AUT,YR1960,
206,Australia,AUS,YR1960,
207,Aruba,ABW,YR1960,
208,Armenia,ARM,YR1960,
209,Argentina,ARG,YR1960,
210,Antigua and Barbuda,ATG,YR1960,
211,Angola,AGO,YR1960,
212,Andorra,AND,YR1960,
213,American Samoa,ASM,YR1960,
214,Algeria,DZA,YR1960,
215,Albania,ALB,YR1960,
216,Afghanistan,AFG,YR1960,
217,World,WLD,YR1960,
218,Upper middle income,UMC,YR1960,
219,Sub-Saharan Africa (IDA & IBRD countries),TSS,YR1960,
220,Sub-Saharan Africa (excluding high income),SSA,YR1960,
221,Sub-Saharan Africa,SSF,YR1960,
222,South Asia (IDA & IBRD),TSA,YR1960,
223,South Asia,SAS,YR1960,
224,Small states,SST,YR1960,
225,Pre-demographic dividend,PRE,YR1960,
226,Post-demographic dividend,PST,YR1960,
227,Pacific island small states,PSS,YR1960,
228,Other small states,OSS,YR1960,
229,OECD members,OED,YR1960,
230,Not classified,INX,YR1960,
231,North America,NAC,YR1960,
232,Middle income,MIC,YR1960,
233,Middle East & North Africa (IDA & IBRD countries),TMN,YR1960,
234,Middle East & North Africa (excluding high income),MNA,YR1960,
235,Middle East & North Africa,MEA,YR1960,
236,Lower middle income,LMC,YR1960,
237,Low income,LIC,YR1960,
238,Low & middle income,LMY,YR1960,
239,Least developed countries: UN classification,LDC,YR1960,
240,Latin America & the Caribbean (IDA & IBRD countries),TLA,YR1960,
241,Latin America & Caribbean (excluding high income),LAC,YR1960,
242,Latin America & Caribbean,LCN,YR1960,
243,Late-demographic dividend,LTE,YR1960,
244,IDA total,IDA,YR1960,
245,IDA only,IDX,YR1960,
246,IDA blend,IDB,YR1960,
247,IDA & IBRD total,IBT,YR1960,
248,IBRD only,IBD,YR1960,
249,High income,HIC,YR1960,
250,Heavily indebted poor countries (HIPC),HPC,YR1960,
251,Fragile and conflict affected situations,FCS,YR1960,
252,European Union,EUU,YR1960,
253,Europe & Central Asia (IDA & IBRD countries),TEC,YR1960,
254,Europe & Central Asia (excluding high income),ECA,YR1960,
255,Europe & Central Asia,ECS,YR1960,
256,Euro area,EMU,YR1960,
257,East Asia & Pacific (IDA & IBRD countries),TEA,YR1960,
258,East Asia & Pacific (excluding high income),EAP,YR1960,
259,East Asia & Pacific,EAS,YR1960,
260,Early-demographic dividend,EAR,YR1960,
261,Central Europe and the Baltics,CEB,YR1960,
262,Caribbean small states,CSS,YR1960,
263,Arab World,ARB,YR1960,
264,Africa Western and Central,AFW,YR1960,
265,Africa Eastern and Southern,AFE,YR1960,
266,Zimbabwe,ZWE,YR1961,6.31615726782277
267,Zambia,ZMB,YR1961,1.36138199147489
268,"Yemen, Rep.",YEM,YR1961,
269,West Bank and Gaza,PSE,YR1961,
270,Virgin Islands (U.S.),VIR,YR1961,
271,Viet Nam,VNM,YR1961,
272,"Venezuela, RB",VEN,YR1961,3.19251943889358
273,Vanuatu,VUT,YR1961,
274,Uzbekistan,UZB,YR1961,
275,Uruguay,URY,YR1961,2.49303791805684
276,United States,USA,YR1961,2.29999999999953
277,United Kingdom,GBR,YR1961,2.70131423677384
278,United Arab Emirates,ARE,YR1961,
279,Ukraine,UKR,YR1961,
280,Uganda,UGA,YR1961,
281,Tuvalu,TUV,YR1961,
282,Turks and Caicos Islands,TCA,YR1961,
283,Turkmenistan,TKM,YR1961,
284,Turkiye,TUR,YR1961,1.15606938539699
285,Tunisia,TUN,YR1961,
286,Trinidad and Tobago,TTO,YR1961,14.037070864503
287,Tonga,TON,YR1961,
288,Togo,TGO,YR1961,12.1693173716542
289,Timor-Leste,TLS,YR1961,
290,Thailand,THA,YR1961,5.36214630168787
291,Tanzania,TZA,YR1961,1.13829635143733
292,Tajikistan,TJK,YR1961,
293,Syrian Arab Republic,SYR,YR1961,10.8330639000002
294,Switzerland,CHE,YR1961,8.10867221090605
295,Sweden,SWE,YR1961,5.68129281739007
296,Suriname,SUR,YR1961,4.79999999846883
297,Sudan,SDN,YR1961,0.0223913336718056
298,St. Vincent and the Grenadines,VCT,YR1961,4.52728327833103
299,St. Martin (French part),MAF,YR1961,
300,St. Lucia,LCA,YR1961,
301,St. Kitts and Nevis,KNA,YR1961,
302,Sri Lanka,LKA,YR1961,
303,Spain,ESP,YR1961,11.8386741948327
304,South Sudan,SSD,YR1961,
305,South Africa,ZAF,YR1961,3.84473414174089
306,Somalia,SOM,YR1961,-3.26198120234093
307,Solomon Islands,SLB,YR1961,
308,Slovenia,SVN,YR1961,
309,Slovak Republic,SVK,YR1961,
310,Sint Maarten (Dutch part),SXM,YR1961,
311,Singapore,SGP,YR1961,8.13752950817668
312,Sierra Leone,SLE,YR1961,1.80904355005759
313,Seychelles,SYC,YR1961,-4.88227636132126
314,Serbia,SRB,YR1961,
315,Senegal,SEN,YR1961,2.99344825626973
316,Saudi Arabia,SAU,YR1961,11.8768510783222
317,Sao Tome and Principe,STP,YR1961,
318,San Marino,SMR,YR1961,
319,Samoa,WSM,YR1961,
320,Rwanda,RWA,YR1961,-4.2975260471688
321,Russian Federation,RUS,YR1961,
322,Romania,ROU,YR1961,
323,Qatar,QAT,YR1961,
324,Puerto Rico,PRI,YR1961,7.04173846987173
325,Portugal,PRT,YR1961,5.53490347567515
326,Poland,POL,YR1961,
327,Philippines,PHL,YR1961,5.69547095029755
328,Peru,PER,YR1961,7.34709633145569
329,Paraguay,PRY,YR1961,6.90028551422945
330,Papua New Guinea,PNG,YR1961,6.18111172052933
331,Panama,PAN,YR1961,10.926594841623
332,Palau,PLW,YR1961,
333,Pakistan,PAK,YR1961,5.9873464192908
334,Oman,OMN,YR1961,
335,Norway,NOR,YR1961,6.27333551040741
336,Northern Mariana Islands,MNP,YR1961,
337,North Macedonia,MKD,YR1961,
338,Nigeria,NGA,YR1961,0.191795489572428
339,Niger,NER,YR1961,4.54639303660171
340,Nicaragua,NIC,YR1961,7.49774339849118
341,New Zealand,NZL,YR1961,3.31564965480389
342,New Caledonia,NCL,YR1961,
343,Netherlands,NLD,YR1961,0.295546672716611
344,Nepal,NPL,YR1961,1.9082659718424
345,Nauru,NRU,YR1961,
346,Namibia,NAM,YR1961,
347,Myanmar,MMR,YR1961,0.471561080379757
348,Mozambique,MOZ,YR1961,
349,Morocco,MAR,YR1961,
350,Montenegro,MNE,YR1961,
351,Mongolia,MNG,YR1961,
352,Monaco,MCO,YR1961,
353,Moldova,MDA,YR1961,
354,"Micronesia, Fed. Sts.",FSM,YR1961,
355,Mexico,MEX,YR1961,5.00000000071891
356,Mauritius,MUS,YR1961,22.8490949969695
357,Mauritania,MRT,YR1961,
358,Marshall Islands,MHL,YR1961,
359,Malta,MLT,YR1961,
360,Mali,MLI,YR1961,
361,Maldives,MDV,YR1961,
362,Malaysia,MYS,YR1961,7.59799400028281
363,Malawi,MWI,YR1961,7.63959785583216
364,Madagascar,MDG,YR1961,2.04863275061248
365,"Macao SAR, China",MAC,YR1961,
366,Luxembourg,LUX,YR1961,3.82998312174064
367,Lithuania,LTU,YR1961,
368,Liechtenstein,LIE,YR1961,
369,Libya,LBY,YR1961,9.89580392156864
370,Liberia,LBR,YR1961,2.4399854210132
371,Lesotho,LSO,YR1961,1.86479516562765
372,Lebanon,LBN,YR1961,
373,Latvia,LVA,YR1961,
374,Lao PDR,LAO,YR1961,
375,Kyrgyz Republic,KGZ,YR1961,
376,Kuwait,KWT,YR1961,
377,Kosovo,XKX,YR1961,
378,"Korea, Rep.",KOR,YR1961,6.93599265224405
379,"Korea, Dem. People's Rep.",PRK,YR1961,
380,Kiribati,KIR,YR1961,
381,Kenya,KEN,YR1961,-7.77463490371655
382,Kazakhstan,KAZ,YR1961,
383,Jordan,JOR,YR1961,
384,Japan,JPN,YR1961,12.0435364080117
385,Jamaica,JAM,YR1961,
386,Italy,ITA,YR1961,8.20724591384786
387,Israel,ISR,YR1961,11.2038906187628
388,Isle of Man,IMN,YR1961,
389,Ireland,IRL,YR1961,5.01616911525828
390,Iraq,IRQ,YR1961,7.3257680655626
391,"Iran, Islamic Rep.",IRN,YR1961,10.3909183549936
392,Indonesia,IDN,YR1961,5.74064582274347
393,India,IND,YR1961,3.72274253311053
394,Iceland,ISL,YR1961,-0.0741839762608976
395,Hungary,HUN,YR1961,4.70000000000019
396,"Hong Kong SAR, China",HKG,YR1961,
397,Honduras,HND,YR1961,1.85565932082044
398,Haiti,HTI,YR1961,-2.93198029126782
399,Guyana,GUY,YR1961,4.68952431164918
400,Guinea-Bissau,GNB,YR1961,
401,Guinea,GIN,YR1961,
402,Guatemala,GTM,YR1961,4.29851834874688
403,Guam,GUM,YR1961,
404,Grenada,GRD,YR1961,
405,Greenland,GRL,YR1961,
406,Greece,GRC,YR1961,13.2038408136757
407,Gibraltar,GIB,YR1961,
408,Ghana,GHA,YR1961,3.42967401462874
409,Germany,DEU,YR1961,4.29843956416363
410,Georgia,GEO,YR1961,
411,"Gambia, The",GMB,YR1961,
412,Gabon,GAB,YR1961,14.7668431868332
413,French Polynesia,PYF,YR1961,
414,France,FRA,YR1961,4.98011185019882
415,Finland,FIN,YR1961,7.60467047924405
416,Fiji,FJI,YR1961,3.51758200278962
417,Faroe Islands,FRO,YR1961,
418,Ethiopia,ETH,YR1961,
419,Eswatini,SWZ,YR1961,
420,Estonia,EST,YR1961,
421,Eritrea,ERI,YR1961,
422,Equatorial Guinea,GNQ,YR1961,
423,El Salvador,SLV,YR1961,
424,"Egypt, Arab Rep.",EGY,YR1961,5.1611141431878
425,Ecuador,ECU,YR1961,5.12441487941221
426,Dominican Republic,DOM,YR1961,-2.31324874995225
427,Dominica,DMA,YR1961,
428,Djibouti,DJI,YR1961,
429,Denmark,DNK,YR1961,6.37883247557384
430,Czechia,CZE,YR1961,
431,Cyprus,CYP,YR1961,
432,Curacao,CUW,YR1961,
433,Cuba,CUB,YR1961,
434,Croatia,HRV,YR1961,
435,Cote d'Ivoire,CIV,YR1961,9.93255515611813
436,Costa Rica,CRI,YR1961,1.8792765563641
437,"Congo, Rep.",COG,YR1961,8.35072672427799
438,"Congo, Dem. Rep.",COD,YR1961,-10.8513760836337
439,Comoros,COM,YR1961,
440,Colombia,COL,YR1961,5.08921698439107
441,China,CHN,YR1961,-27.2700000039227
442,Chile,CHL,YR1961,5.24527188445649
443,Channel Islands,CHI,YR1961,
444,Chad,TCD,YR1961,1.39774367077538
445,Central African Republic,CAF,YR1961,4.95355379797229
446,Cayman Islands,CYM,YR1961,
447,Canada,CAN,YR1961,3.16329168371286
448,Cameroon,CMR,YR1961,1.18368081101198
449,Cambodia,KHM,YR1961,
450,Cabo Verde,CPV,YR1961,
451,Burundi,BDI,YR1961,-13.7461350539839
452,Burkina Faso,BFA,YR1961,4.04392797754925
453,Bulgaria,BGR,YR1961,
454,Brunei Darussalam,BRN,YR1961,
455,British Virgin Islands,VGB,YR1961,
456,Brazil,BRA,YR1961,8.60000000000014
457,Botswana,BWA,YR1961,6.3432837196721
458,Bosnia and Herzegovina,BIH,YR1961,
459,Bolivia,BOL,YR1961,2.08929593570468
460,Bhutan,BTN,YR1961,
461,Bermuda,BMU,YR1961,4.67999999890945
462,Benin,BEN,YR1961,3.14128045641213
463,Belize,BLZ,YR1961,4.89227721902682
464,Belgium,BEL,YR1961,4.97842306319174
465,Belarus,BLR,YR1961,
466,Barbados,BRB,YR1961,7.69652979830487
467,Bangladesh,BGD,YR1961,6.05816082548128
468,Bahrain,BHR,YR1961,
469,"Bahamas, The",BHS,YR1961,10.6670974251373
470,Azerbaijan,AZE,YR1961,
471,Austria,AUT,YR1961,5.53797931684517
472,Australia,AUS,YR1961,2.48261834811161
473,Aruba,ABW,YR1961,
474,Armenia,ARM,YR1961,
475,Argentina,ARG,YR1961,5.42784287621933
476,Antigua and Barbuda,ATG,YR1961,
477,Angola,AGO,YR1961,
478,Andorra,AND,YR1961,
479,American Samoa,ASM,YR1961,
480,Algeria,DZA,YR1961,-13.605441324599
481,Albania,ALB,YR1961,
482,Afghanistan,AFG,YR1961,
483,World,WLD,YR1961,3.96972778685065
484,Upper middle income,UMC,YR1961,0.411497510966583
485,Sub-Saharan Africa (IDA & IBRD countries),TSS,YR1961,1.09546276020076
486,Sub-Saharan Africa (excluding high income),SSA,YR1961,1.0989096242992
487,Sub-Saharan Africa,SSF,YR1961,1.09546276020076
488,South Asia (IDA & IBRD),TSA,YR1961,4.21382710104825
489,South Asia,SAS,YR1961,4.21382710104825
490,Small states,SST,YR1961,
491,Pre-demographic dividend,PRE,YR1961,-0.303987806750854
492,Post-demographic dividend,PST,YR1961,4.40882790671731
493,Pacific island small states,PSS,YR1961,
494,Other small states,OSS,YR1961,
495,OECD members,OED,YR1961,4.40871299763774
496,Not classified,INX,YR1961,
497,North America,NAC,YR1961,2.36540607239422
498,Middle income,MIC,YR1961,1.15386229793317
499,Middle East & North Africa (IDA & IBRD countries),TMN,YR1961,3.3611205264918
500,Middle East & North Africa (excluding high income),MNA,YR1961,3.3611205264918
501,Middle East & North Africa,MEA,YR1961,
502,Lower middle income,LMC,YR1961,3.26768658530699
503,Low income,LIC,YR1961,
504,Low & middle income,LMY,YR1961,1.01621585985991
505,Least developed countries: UN classification,LDC,YR1961,
506,Latin America & the Caribbean (IDA & IBRD countries),TLA,YR1961,6.09672691316108
507,Latin America & Caribbean (excluding high income),LAC,YR1961,6.16268034616645
508,Latin America & Caribbean,LCN,YR1961,6.13266550545795
509,Late-demographic dividend,LTE,YR1961,-3.72667895978336
510,IDA total,IDA,YR1961,1.17794202733796
511,IDA only,IDX,YR1961,
512,IDA blend,IDB,YR1961,1.36147497102823
513,IDA & IBRD total,IBT,YR1961,1.16807088401796
514,IBRD only,IBD,YR1961,1.16632643816084
515,High income,HIC,YR1961,4.47006651557631
516,Heavily indebted poor countries (HIPC),HPC,YR1961,-0.1653200959923
517,Fragile and conflict affected situations,FCS,YR1961,-0.185167849939262
518,European Union,EUU,YR1961,5.75505606271065
519,Europe & Central Asia (IDA & IBRD countries),TEC,YR1961,
520,Europe & Central Asia (excluding high income),ECA,YR1961,
521,Europe & Central Asia,ECS,YR1961,5.20013015382976
522,Euro area,EMU,YR1961,5.74716909918152
523,East Asia & Pacific (IDA & IBRD countries),TEA,YR1961,-13.3282852333271
524,East Asia & Pacific (excluding high income),EAP,YR1961,-13.3282852333271
525,East Asia & Pacific,EAS,YR1961,3.83727745350342
526,Early-demographic dividend,EAR,YR1961,4.77671789203275
527,Central Europe and the Baltics,CEB,YR1961,
528,Caribbean small states,CSS,YR1961,7.376455380248
529,Arab World,ARB,YR1961,
530,Africa Western and Central,AFW,YR1961,1.87345509634132
531,Africa Eastern and Southern,AFE,YR1961,0.460106039842898
532,Zimbabwe,ZWE,YR1962,1.43447088780628
533,Zambia,ZMB,YR1962,-2.49083947454871
534,"Yemen, Rep.",YEM,YR1962,
535,West Bank and Gaza,PSE,YR1962,
536,Virgin Islands (U.S.),VIR,YR1962,
537,Viet Nam,VNM,YR1962,
538,"Venezuela, RB",VEN,YR1962,8.53293376290713
539,Vanuatu,VUT,YR1962,
540,Uzbekistan,UZB,YR1962,
541,Uruguay,URY,YR1962,-1.57454885002421
542,United States,USA,YR1962,6.10000000000016
543,United Kingdom,GBR,YR1962,1.09869618406519
544,United Arab Emirates,ARE,YR1962,
545,Ukraine,UKR,YR1962,
546,Uganda,UGA,YR1962,
547,Tuvalu,TUV,YR1962,
548,Turks and Caicos Islands,TCA,YR1962,
549,Turkmenistan,TKM,YR1962,
550,Turkiye,TUR,YR1962,5.57142858180484
551,Tunisia,TUN,YR1962,-4.5900845072057
552,Trinidad and Tobago,TTO,YR1962,2.74246314643362
553,Tonga,TON,YR1962,
554,Togo,TGO,YR1962,3.77365283193656
555,Timor-Leste,TLS,YR1962,
556,Thailand,THA,YR1962,7.55425444784086
557,Tanzania,TZA,YR1962,9.0967473843173
558,Tajikistan,TJK,YR1962,
559,Syrian Arab Republic,SYR,YR1962,24.5212971717849
560,Switzerland,CHE,YR1962,4.78994131635308
561,Sweden,SWE,YR1962,4.2590472145226
562,Suriname,SUR,YR1962,3.90000000073051
563,Sudan,SDN,YR1962,6.91584215438297
564,St. Vincent and the Grenadines,VCT,YR1962,3.69426180095058
565,St. Martin (French part),MAF,YR1962,
566,St. Lucia,LCA,YR1962,
567,St. Kitts and Nevis,KNA,YR1962,
568,Sri Lanka,LKA,YR1962,3.81801955804475
569,Spain,ESP,YR1962,9.95343810301819
570,South Sudan,SSD,YR1962,
571,South Africa,ZAF,YR1962,6.17793085042746
572,Somalia,SOM,YR1962,7.07665543416877
573,Solomon Islands,SLB,YR1962,
574,Slovenia,SVN,YR1962,
575,Slovak Republic,SVK,YR1962,
576,Sint Maarten (Dutch part),SXM,YR1962,
577,Singapore,SGP,YR1962,7.55344418052258
578,Sierra Leone,SLE,YR1962,4.54096706427617
579,Seychelles,SYC,YR1962,8.40858127171889
580,Serbia,SRB,YR1962,
581,Senegal,SEN,YR1962,-0.136235360562637
582,Saudi Arabia,SAU,YR1962,11.9226595664135
583,Sao Tome and Principe,STP,YR1962,
584,San Marino,SMR,YR1962,
585,Samoa,WSM,YR1962,
586,Rwanda,RWA,YR1962,11.3337983683921
587,Russian Federation,RUS,YR1962,
588,Romania,ROU,YR1962,
589,Qatar,QAT,YR1962,
590,Puerto Rico,PRI,YR1962,8.32331253031427
591,Portugal,PRT,YR1962,6.61444776877353
592,Poland,POL,YR1962,
593,Philippines,PHL,YR1962,4.84629418915898
594,Peru,PER,YR1962,10.0352933342212
595,Paraguay,PRY,YR1962,3.30025851602093
596,Papua New Guinea,PNG,YR1962,6.37409931623623
597,Panama,PAN,YR1962,8.24473681997459
598,Palau,PLW,YR1962,
599,Pakistan,PAK,YR1962,4.48285862746643
600,Oman,OMN,YR1962,
601,Norway,NOR,YR1962,2.81394513844533
602,Northern Mariana Islands,MNP,YR1962,
603,North Macedonia,MKD,YR1962,
604,Nigeria,NGA,YR1962,4.10299258867985
605,Niger,NER,YR1962,10.2787134988997
606,Nicaragua,NIC,YR1962,10.8907983290977
607,New Zealand,NZL,YR1962,3.08087345285604
608,New Caledonia,NCL,YR1962,
609,Netherlands,NLD,YR1962,6.84350732102872
610,Nepal,NPL,YR1962,1.91032003077807
611,Nauru,NRU,YR1962,
612,Namibia,NAM,YR1962,
613,Myanmar,MMR,YR1962,4.08687253043894
614,Mozambique,MOZ,YR1962,
615,Morocco,MAR,YR1962,
616,Montenegro,MNE,YR1962,
617,Mongolia,MNG,YR1962,
618,Monaco,MCO,YR1962,
619,Moldova,MDA,YR1962,
620,"Micronesia, Fed. Sts.",FSM,YR1962,
621,Mexico,MEX,YR1962,4.6644146725129
622,Mauritius,MUS,YR1962,0.806486903273324
623,Mauritania,MRT,YR1962,0.726608378640293
624,Marshall Islands,MHL,YR1962,
625,Malta,MLT,YR1962,
626,Mali,MLI,YR1962,
627,Maldives,MDV,YR1962,
628,Malaysia,MYS,YR1962,6.42102960904312
629,Malawi,MWI,YR1962,0.668364743652972
630,Madagascar,MDG,YR1962,2.27106970111232
631,"Macao SAR, China",MAC,YR1962,
632,Luxembourg,LUX,YR1962,1.35867767094868
633,Lithuania,LTU,YR1962,
634,Liechtenstein,LIE,YR1962,
635,Libya,LBY,YR1962,32.5246409879161
636,Liberia,LBR,YR1962,1.34460607744855
637,Lesotho,LSO,YR1962,15.3318143272581
638,Lebanon,LBN,YR1962,
639,Latvia,LVA,YR1962,
640,Lao PDR,LAO,YR1962,
641,Kyrgyz Republic,KGZ,YR1962,
642,Kuwait,KWT,YR1962,
643,Kosovo,XKX,YR1962,
644,"Korea, Rep.",KOR,YR1962,3.89527253075299
645,"Korea, Dem. People's Rep.",PRK,YR1962,
646,Kiribati,KIR,YR1962,
647,Kenya,KEN,YR1962,9.45735874072126
648,Kazakhstan,KAZ,YR1962,
649,Jordan,JOR,YR1962,
650,Japan,JPN,YR1962,8.90897299558067
651,Jamaica,JAM,YR1962,
652,Italy,ITA,YR1962,6.20365045787108
653,Israel,ISR,YR1962,10.1561172182462
654,Isle of Man,IMN,YR1962,
655,Ireland,IRL,YR1962,3.21644442741527
656,Iraq,IRQ,YR1962,4.60334575305848
657,"Iran, Islamic Rep.",IRN,YR1962,7.90926792965348
